id,title,averageRating,author,language
1,The Hunger Games,4.34,Suzanne Collins,eng
2,Harry Potter and the Philosopher's Stone,4.44,"J.K. Rowling, Mary GrandPré",eng
3,Twilight,3.57,Stephenie Meyer,en-US
4,To Kill a Mockingbird,4.25,Harper Lee,eng
5,The Great Gatsby,3.89,F. Scott Fitzgerald,eng
6,The Fault in Our Stars,4.26,John Green,eng
7,The Hobbit or There and Back Again,4.25,J.R.R. Tolkien,en-US
8,The Catcher in the Rye,3.79,J.D. Salinger,eng
9,Angels & Demons ,3.85,Dan Brown,en-CA
10,Pride and Prejudice,4.24,Jane Austen,eng
11,The Kite Runner ,4.26,Khaled Hosseini,eng
12,Divergent,4.24,Veronica Roth,eng
13,Nineteen Eighty-Four,4.14,"George Orwell, Erich Fromm, Celâl Üster",eng
14,Animal Farm: A Fairy Story,3.87,George Orwell,eng
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,4.1,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",eng
16,Män som hatar kvinnor,4.11,"Stieg Larsson, Reg Keeland",eng
17,Catching Fire,4.3,Suzanne Collins,eng
18,Harry Potter and the Prisoner of Azkaban,4.53,"J.K. Rowling, Mary GrandPré, Rufus Beck",eng
19, The Fellowship of the Ring,4.34,J.R.R. Tolkien,eng
20,Mockingjay,4.03,Suzanne Collins,eng
21,Harry Potter and the Order of the Phoenix,4.46,"J.K. Rowling, Mary GrandPré",eng
22,The Lovely Bones,3.77,Alice Sebold,eng
23,Harry Potter and the Chamber of Secrets,4.37,"J.K. Rowling, Mary GrandPré",eng
24,Harry Potter and the Goblet of Fire,4.53,"J.K. Rowling, Mary GrandPré",eng
25,Harry Potter and the Deathly Hallows,4.61,"J.K. Rowling, Mary GrandPré",eng
26,The Da Vinci Code,3.79,Dan Brown,eng
27,Harry Potter and the Half-Blood Prince,4.54,"J.K. Rowling, Mary GrandPré",eng
28,Lord of the Flies ,3.64,William Golding,eng
29,An Excellent conceited Tragedie of Romeo and Juliet,3.73,"William Shakespeare, Robert           Jackson",eng
30,Gone Girl,4.03,Gillian Flynn,eng
31,The Help,4.45,Kathryn Stockett,eng
32,Of Mice and Men ,3.84,John Steinbeck,eng
33,Memoirs of a Geisha,4.08,Arthur Golden,eng
34,Fifty Shades of Grey,3.67,E.L. James,eng
35,O Alquimista,3.82,"Paulo Coelho, Alan R. Clarke",eng
36,The Giver,4.12,Lois Lowry,eng
37,"The Lion, the Witch and the Wardrobe",4.19,C.S. Lewis,eng
38,The Time Traveler's Wife,3.95,Audrey Niffenegger,eng
39,A Game of Thrones,4.45,George R.R. Martin,eng
40,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",3.51,Elizabeth Gilbert,eng
41,The Lightning Thief,4.23,Rick Riordan,eng
42,Little Women,4.04,Louisa May Alcott,en-US
43,Jane Eyre,4.1,"Charlotte Brontë, Michael Mason",eng
44,The Notebook,4.06,Nicholas Sparks,eng
45,Life of Pi,3.88,Yann Martel,
46,Water for Elephants,4.07,Sara Gruen,eng
47,The Book Thief,4.36,Markus Zusak,eng
48,Fahrenheit 451,3.97,Ray Bradbury,spa
49,"New Moon (Twilight, #2)",3.52,Stephenie Meyer,eng
50,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,4.29,Shel Silverstein,eng
51,City of Bones,4.12,Cassandra Clare,eng
52,Eclipse,3.69,Stephenie Meyer,en-US
53,Eragon,3.86,Christopher Paolini,en-US
54,The Hitchhiker's Guide to the Galaxy,4.2,Douglas Adams,en-US
